City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,primero de mayo,-32.2552,-58.4228,107.17,23,0,15.5,AR,1710352057
320,guacimo,10.2104,-83.6807,86.09,55,42,6.55,CR,1710352057
321,ivdel',60.6911,60.4206,22.19,78,97,11.01,RU,1710352057
322,zhigalovo,54.8097,105.1578,22.73,86,99,12.57,RU,1710352058
323,richards bay,-28.783,32.0377,75.34,76,100,11.72,ZA,1710352058
324,mana,5.6592,-53.7767,86.95,62,45,12.73,GF,1710352058
325,vadso,70.0744,29.7487,23.16,58,75,6.91,NO,1710352059
326,port saint john's,-31.6229,29.5448,73.22,86,100,5.53,ZA,1710352059
327,humberto de campos,-2.5983,-43.4611,86.04,72,100,5.46,BR,1710352059
328,cabedelo,-6.9811,-34.8339,88.47,69,100,8.97,BR,1710351908
329,jalalabad,34.4265,70.4515,53.67,66,17,0.51,AF,1710352060
330,okha,53.5739,142.9478,0.07,98,95,5.64,RU,1710352060
331,awjilah,29.1081,21.2869,67.19,35,45,9.8,LY,1710352060
332,westport,41.1415,-73.3579,67.44,41,84,5.99,US,1710351907
333,naze,28.3667,129.4833,50.92,63,99,4.56,JP,1710352061
334,alice springs,-23.7,133.8833,71.15,43,9,5.75,AU,1710352050
335,yermentau,51.6214,73.1069,12.69,95,96,10.94,KZ,1710352061
336,iskateley,67.6803,53.1512,12.02,86,66,17.0,RU,1710352062
337,ola,59.5833,151.2833,10.17,96,97,5.23,RU,1710352062
338,bingerville,5.3584,-3.8869,85.14,79,20,12.66,CI,1710352062
339,arica,-18.475,-70.3042,83.75,53,0,16.11,CL,1710351962
340,malvan,16.0667,73.4667,77.14,74,2,11.32,IN,1710352063
341,egilsstadir,65.2653,-14.3948,33.71,93,100,24.16,IS,1710352063
342,ibiza,38.9088,1.433,61.21,69,0,3.44,ES,1710352064
343,great falls,47.5002,-111.3008,43.99,47,100,14.97,US,1710352064
344,san angelo,31.4638,-100.437,80.94,42,0,13.8,US,1710351802
345,kushtia,23.9011,89.1221,76.73,46,1,10.09,BD,1710352065
346,bikin,46.8161,134.26,14.67,100,98,2.95,RU,1710352065
347,maceio,-9.6658,-35.7353,83.64,83,75,4.61,BR,1710352055
348,chibougamau,49.9168,-74.3659,28.02,86,100,5.75,CA,1710352066
349,constantia,44.1833,28.65,47.08,89,100,7.27,RO,1710352066
350,chom thong,18.4174,98.6743,75.45,29,0,4.52,TH,1710352067
351,pangoa,-12.1167,-73.0,87.75,56,41,3.6,PE,1710352067
352,shangrao,28.4532,117.9686,55.87,90,100,2.73,CN,1710352067
353,lubango,-14.9172,13.4925,76.86,61,40,9.22,AO,1710352068
354,popondetta,-8.7537,148.2534,76.42,97,100,2.91,PG,1710352068
355,hirara,24.8,125.2833,59.27,77,100,2.3,JP,1710352068
356,berdigestyakh,62.0989,126.6992,-9.09,100,99,1.7,RU,1710352069
357,madalena,41.2162,-8.3345,62.71,73,17,3.56,PT,1710352069
358,jasdan,22.0333,71.2,73.67,42,0,12.91,IN,1710352069
359,nyurba,63.2842,118.3319,-19.08,100,100,1.48,RU,1710352069
360,al burayqah,30.4062,19.5739,61.32,63,3,14.67,LY,1710352070
361,posto fiscal rolim de moura,-13.0833,-62.2667,93.27,49,64,3.65,BR,1710351838
